load,true_pattern,hetero,scale,pred_mode,cdf_mode,value_mode,frozen,calibrated,greedy,fipd,frozen_gap,calibrated_gap,delta,delta_std,runs,frozen_viol,calibrated_viol,delta_ci95
0.8,mixed,medium,2.0,type-noisy,correct,noisy,0.9437879805360193,0.9767390760620293,1.0,1.0,-0.0562120194639807,-0.02326092393797079,0.03295109552600991,0.02319412527441338,10,0,0,0.014375867783675144
0.8,mixed,medium,2.0,type-noisy,shifted,exact,0.9823828348813706,0.9955020944556521,1.0,1.0,-0.01761716511862942,-0.004497905544347957,0.01311925957428146,0.02501657430302156,10,0,0,0.015505433394267933
0.8,mixed,medium,2.0,type-noisy,shifted,noisy,0.9667279077264116,0.9928964099261345,1.0,1.0,-0.03327209227358839,-0.0071035900738654735,0.026168502199722922,0.034557739818134654,10,0,0,0.021419109048108505
0.8,mixed,medium,2.0,uniform,correct,exact,0.9730371368116396,0.981610351456631,1.0,1.0,-0.026962863188360477,-0.018389648543369053,0.008573214644991422,0.006425163348149746,10,0,0,0.003982357501682175
0.8,mixed,medium,2.0,uniform,correct,noisy,0.9616709807690711,0.9772316107680771,1.0,1.0,-0.03832901923092894,-0.02276838923192296,0.015560629999005982,0.009118128450615041,10,0,0,0.00565147456477743
0.8,mixed,medium,2.0,uniform,shifted,exact,0.9949863787695321,0.9961070720653717,1.0,1.0,-0.005013621230467802,-0.0038929279346282984,0.0011206932958395034,0.0035439433733337336,10,0,0,0.002196558859845426
0.8,mixed,medium,2.0,uniform,shifted,noisy,0.9972174744548651,0.9989499625549257,1.0,1.0,-0.0027825255451349286,-0.0010500374450743144,0.001732488100060614,0.005478608415329239,10,0,0,0.0033956766761188027
0.8,reverse,high,0.5,type-noisy,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,type-noisy,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,type-noisy,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,type-noisy,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,uniform,correct,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,uniform,correct,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,uniform,shifted,exact,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
0.8,reverse,high,0.5,uniform,shifted,noisy,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,10,0,0,0.0
